TTDDRUGID	LNM	Indication	ICD9	ICD10
DIB006858	ABT-110	Chronic pain	338.2,780	R52.1-R52.2, G89
DIB006859	Enloplatin	Chronic lymphocytic leukaemia	204.1, 208.9	C91-C95, C91.1
DIB006860	Meningococcus B vaccine	Neisseria meningitidis infection	001-139, 041.5, 487, 488	A00-B99, A49.2, J10, J11
DIB006861	Sipoglitazar	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006862	Tesmilifene	Breast cancer; Prostate cancer	174, 175, 185	C50, C61
DIB006863	Autologous bone marrow-derived mesenchymal stem cells	Lateral sclerosis	.	G12.2
DIB006864	HM-90822	Cancer	140-229	C00-C96
DIB006865	OMS-302	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006866	CO-8	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006867	MKC-1106-PP	Cancer	140-229	C00-C96
DIB006868	Enteric-coated mycophenolate sodium	Transplant rejection	279.5, 996	D89.8, T86
DIB006869	CS-204	Metabolic disorders	270-279	E70-E89
DIB006870	AKP-501	Female infertility	628	N97.0
DIB006871	INCB40093	Lymphoma	202.8, 208.9	C81-C96, C91-C95
DIB006872	PHY-808	Cancer	140-229	C00-C96
DIB006876	CeaVac	Colorectal cancer	153, 154	C18-C21
DIB006877	SAR-104772	Cerebrovascular ischaemia	434.91	I61-I63
DIB006878	KRP-101	Hyperlipidemia	272.0-272.4	E78
DIB006880	Long-acting oxyntomodulin	Obesity	278	E66
DIB006881	XR-9051	Cancer	140-229	C00-C96
DIB006882	ATI-1150	Cancer	140-229	C00-C96
DIB006884	Suplatast tosilate	Allergy	995.3	T78.4
DIB006887	CT-2584	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006890	NPS-P156	Central nervous system disease	.	G00-G99
DIB006891	AZD4721	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DIB006892	SCIB-2	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006893	Sulochrin	Asthma	493	J45
DIB006894	Sucralfate	Acne vulgaris	706.1	L70.0
DIB006895	DAV-148	Enterobacteriaceae infection	.	A04.8
DIB006896	MX-35	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DIB006899	LAS-41004	Atopic dermatitis	691.8, 692.9	L20, L20-L30
DIB006900	FCP-3P1	Atherosclerosis	414.0, 440	I70
DIB006901	WJ-9708011	Hormone refractory prostate cancer	140-229, 185	C00-C96, C61
DIB006904	GX-137	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DIB006905	PXS-25	Fibrosis	709.2	L90.5
DIB006906	AT-012	Cancer	140-229	C00-C96
DIB006909	PMI-005	Osteoarthritis	715	M15-M19, M47
DIB006910	HPV 16/18 vaccine	Papillomavirus infections	.	B97.7
DIB006911	FluDrugStrategy	Influenza virus infections	487, 488	J10, J11
DIB006913	DW-514	Dementia	290-294, 331.0	F01-F07, G30
DIB006915	Engineered toxin bodies	Cancer	140-229	C00-C96
DIB006916	JAIVAC-1	Plasmodium falciparum infection	.	B54
DIB006917	Parkinsons therapeutic peptides	Parkinson's disease	332	F02.3, G20
DIB006918	PPI-03306	Sleep apnea	.	G47.3
DIB006919	EB-1053	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
DIB006920	BOF-12013	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006921	Prifinium	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DIB006922	GNI-105	Papillomavirus infections	.	B97.7
DIB006923	CY-1788	Septic shock	785.52	A41.9
DIB006924	Segard	Sepsis	995.0, 995.91	A40, A41, T78.2
DIB006927	Tiprelestat	Myocardial infarction	416	I27.0, I27.2
DIB006931	Cardiotrophin-1	Acute liver failure	.	K72
DIB006933	Epithalon	Ocular inflammation	.	H00-H59
DIB006934	AZD-8677	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006936	AZT-P-DDI	Human immunodeficiency virus infection	279.3	D84.9
DIB006937	P-216CM	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006938	Pokeweed antiviral protein	Systemic lupus erythematosus	695, 710.0	L51-L54, M32
DIB006939	SOM-0420	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
DIB006942	AM-220	Wound healing	.	T14.0-T14.1
DIB006943	JB-004/A	Inner ear disease	.	H80-H83
DIB006944	BMS-739562	Cancer	140-229	C00-C96
DIB006946	M-5200	Skin allergies	995.3	T78.4
DIB006947	Levodopa	Parkinson's disease	332	F02.3, G20
DIB006949	F-16242	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DIB006950	XToll	Autoimmune diseases	279	D84.9, M35.9
DIB006951	HS-113	Cancer	140-229	C00-C96
DIB006952	Labeled LH superagonist	Breast cancer	174, 175, 217	C50, D24
DIB006953	NT-69-L	Alcohol use disorders	303	F10.2
DIB006954	HBV vaccine	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DIB006955	Recombinant human TNF receptor	Arthritis	710-719	M00-M25
DIB006956	Polymer-tubulysin A prodrug conjugate	Cancer	140-229	C00-C96
DIB006957	YH-4808	Duodenal ulcer	.	K25-K27
DIB006958	AYX-1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006959	5-FP	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006960	PEDF gene therapy	Macular degeneration	362.5	H35.3
DIB006962	NPC-17731	Asthma	493	J45
DIB006963	ST-0703	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006964	TIBENELAST	Bronchodilator	493	J45
DIB006966	Cyrtominetin	Mucolytic	.	J00-J99
DIB006967	DT-320	Cancer	140-229	C00-C96
DIB006968	TL-1836	Cancer	140-229	C00-C96
DIB006969	Remimazolam	Anesthesia	338	R52
DIB006970	Artemisinin derivatives	Cancer	140-229	C00-C96
DIB006971	ASP-7147	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DIB006972	DDG-39	Acquired immune deficiency syndrome	42	B20
DIB006973	MDT-006	Constipation	564	K59.0
DIB006975	VGV-X	HIV infections	001-139, 042	A00-B99, B20
DIB006976	BVT-74316	Obesity	278	E66
DIB006977	PF-5177624	Cancer	140-229	C00-C96
DIB006979	Tat Oyi-Cys22	HIV infections	001-139, 042	A00-B99, B20
DIB006980	Antiviral hyperactivation limiting therapeutics	HIV infections	001-139, 042	A00-B99, B20
DIB006982	CP-4200	Cancer	140-229	C00-C96
DIB006983	SAR-566658	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006985	Carbapenem derivative	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006986	CHGN111	Skin infections	680-709	L00-L99
DIB006987	ITAMELINE	Cognitive impairment	331.83	G31.84
DIB006988	PF-00212062	Cancer	140-229	C00-C96
DIB006989	P2B-003	Cancer	140-229	C00-C96
DIB006990	H5N1 influenza vaccine	Influenza virus infections	487, 488	J10, J11
DIB006991	Alzheimer's disease therapy, Cornell University	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006994	NS5a	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DIB006995	ISU-201	Autoimmune diseases	279	D84.9, M35.9
DIB006997	Colfosceril palmitate	Respiratory distress syndrome	518.5, 518.82	J80
DIB006998	Theradigm-Melanoma	Cancer	140-229	C00-C96
DIB006999	Plavix	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
DIB007000	Lactulose	Constipation	564	K59.0
DIB007001	TMA-230	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007002	REC-0436	Overactive bladder disorder	188, 596.51	C67, N32.81
DIB007003	S-47445	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
DIB007004	Dual antigen vaccine, Aparna Biosciences	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007005	Selective Rac1/1b GTPase nucleotide binding inhibitors	Cancer	140-229	C00-C96
DIB007006	Nisin	Bacillus anthracis infection	.	A22
DIB007007	AZD8186	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB007009	SLV-337	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB007010	BAX-499	Factor IX deficiency	.	D67
DIB007011	Org-25435	Epilepsy	290-319, 345	F01-F99, G40
DIB007012	Ro-24-7341	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007014	ET-003	Colon cancer	153, 154	C18-C21
DIB007015	PC-8608	Cancer	140-229	C00-C96
DIB007016	A-204176	Stress urinary incontinence	.	N39.3
DIB007017	DZ-13	Cancer	140-229	C00-C96
DIB007018	Nano-steroid	Rheumatold arthritis	714	M05-M06
DIB007019	TKP-1002	Schizophrenia	295, 710.0	F20, M32
DIB007021	Omadacycline intravenous	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007022	SRW-LAMP-vax	Allergy	995.3	T78.4
DIB007024	REG-3	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
DIB007025	XP-28	Muscle weakness	.	M62.8
DIB007026	GMK	Melanoma	172.9	C43
DIB007027	AR-102	Pneumonia	.	J12,J13,J14,J15,J16,J17,J18
DIB007028	A-841720	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB007029	Tissuegene-Cs	Articular cartilage disorders	.	M24.10
DIB007030	TD-1770	Bladder cancer	140-229, 188	C00-C96, C67
DIB007032	NM-007-LENK	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB007033	Angiogenesis promoters	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB007034	RP-66153	Asthma	493	J45
DIB007035	FMP2.1/AS02A	Plasmodium falciparum infection	.	B54
DIB007036	MAb therapy, cancer, Igenica	Cancer	140-229	C00-C96
DIB007037	WRSs2	Shigella sonnei infection	.	A03.9
DIB007039	IGF-methotrexate conjugate	Cancer	140-229	C00-C96
DIB007040	PDC-41	Dysmenorrhea	625.3	N94.4-N94.6
DIB007042	DAS-181	Influenza virus infections	487, 488	J10, J11
DIB007046	KI-0907	Obesity	278	E66
DIB007047	NDC-KM	Cancer	140-229	C00-C96
DIB007048	PRINOMIDE TROMETHAMINE	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
DIB007049	DTI-015	Liver cancer	140-229, 155, 203.0	C00-C96, C22.0, C90.0
DIB007050	BAL-30072	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007051	Nextomabs	Autoimmune diseases	279	D84.9, M35.9
DIB007052	ZATOSETRON MALEATE	Anxiety disorder	300, 311	F32, F40-F42
DIB007053	SC-45662	Asthma	493	J45
DIB007054	TKM-Ebola	Ebola virus infection	001-139, 042-075, 065.8	A00-B99, A80-A99, A98.4, B00-B34
DIB007055	BPI-711001	Hypoglycemia	250.8, 251.0, 251.1, 251.2, 270.3, 775.6, 962.3	E16.0-E16.2
DIB007056	Dismutase mimetics	Cancer	140-229	C00-C96
DIB007057	Activated charcoal	Poison intoxication	.	T36-T50
DIB007058	P2B-002	Cancer	140-229	C00-C96
DIB007059	KOS-2484	Cancer	140-229	C00-C96
DIB007060	LANEPITANT	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB007061	DISBA-01	Cancer	140-229	C00-C96
DIB007063	HPP-376	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB007064	U-96988	Human immunodeficiency virus infection	279.3	D84.9
DIB007067	ORG-25935	Psychotic disorders	290-299	F20-F29
DIB007068	Stamulumab	Duchenne muscular dystrophy	359.1	G71.0
DIB007070	PSMA-targeted tubulysin B conjugates	Prostate cancer	140-229, 185	C00-C96, C61
DIB007073	MOD-1002	Obesity	278	E66
DIB007076	Bamifylline	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J45, J47
DIB007078	APD-421	Emesis	787	R11
DIB007079	Recombinant human cartilage-derived retinoic acid-sensitive protein depot	Articular cartilage disorders	.	M24.10
DIB007080	Smac mimetics	Cancer	140-229	C00-C96
DIB007082	TRK-710	Cancer	140-229	C00-C96
DIB007085	ORG-34167	Depression	311	F32
DIB007086	Re-188-P-2045	Lung cancer	162	C33-C34
DIB007087	NDC-1187	Cancer	140-229	C00-C96
DIB007088	Needle-free influenza vaccine patch	Influenza virus infections	487, 488	J10, J11
DIB007090	JIN-2011	Cancer	140-229	C00-C96
DIB007092	Snake venom antisera	Poison intoxication	.	T36-T50
DIB007095	CetuGEX	Cancer	140-229	C00-C96
DIB007096	Phenylalanine hydroxylase	Autoimmune diseases	279	D84.9, M35.9
DIB007098	Cryopreserved human liver cells	Liver disease	570-574	K70-K77
DIB007100	MUC1-Poly-ICLC	Colorectal cancer	153, 154	C18-C21
DIB007101	Anti-Notch-1 mAbs	Cancer	140-229	C00-C96
DIB007108	AR08	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DIB007109	PNH-192	Cancer	140-229	C00-C96
DIB007110	AZD-3839	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB007113	6-mercaptopurine (oral delayed-release, Crohn's disease), Teva	Crohn's disease	555	K50
DIB007114	Antituberculosis agents	Mycobacterium tuberculosis infection	.	A15-A19
DIB007115	Echovist	Gynecological disorder	.	N70-N98
DIB007116	TPO gene plasmid	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
DIB007117	TgAAC-09	HIV infections	001-139, 042	A00-B99, B20
DIB007118	MLN-2704	Prostate cancer	140-229, 185	C00-C96, C61
DIB007119	AZD-4750	Multiple sclerosis	340	G35
DIB007121	Cirrhosis	Liver disease	570-574	K70-K77
DIB007123	SPD-704	Neisseria meningitidis infection	001-139, 041.5, 487, 488	A00-B99, A49.2, J10, J11
DIB007124	KA-398	Asthma	493	J45
DIB007126	TR-Flu	Influenza virus infections	487, 488	J10, J11
DIB007128	PT-00311	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
DIB007130	RemeStim-CEA	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB007131	NN-2501	Diabetes mellitus type 2	250	E11
DIB007133	GABA mimetics	Neuropathic pain	356.0, 356.8	G64, G90.0
DIB007134	NV.TLM.10	Insomnia	307.41, 307.42, 327.0, 780.51, 780.52	F51.0, G47.0
DIB007135	HDAC inhibitors	Cancer	140-229	C00-C96
DIB007136	Pentetate zinc trisodium	Acute radiation syndrome	990	T66
DIB007137	PC-190723	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007138	ES-285	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB007139	AFM-15	Autoimmune diseases	279	D84.9, M35.9
DIB007141	Diabetes therapy, Reyon	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB007142	KRP-107	Autoimmune diseases	279	D84.9, M35.9
DIB007143	BLZ-945	Bone cancer	.	C41.0
DIB007144	YM-43611	Psychotic disorders	290-299	F20-F29
DIB007146	CY-1747	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB007147	NN-8630	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
DIB007148	Etamicastat	Heart failure	410, 428	I21, I22, I50
DIB007149	KRN-5500	Peripheral neuropathy	.	G64
DIB007150	PD-360324	Rheumatold arthritis	714	M05-M06
DIB007151	AZ-23	Cancer	140-229	C00-C96
DIB007152	Allox	Wound healing	.	T14.0-T14.1
DIB007154	MDA-106	Neurodegenerative diseases	330-337	G30-G32
DIB007156	EPB-200	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DIB007157	Systebryl	Amyloidosis	277.3	E85
DIB007158	DABO-1047	HIV infections	001-139, 042	A00-B99, B20
DIB007159	Modified vitamin A	Age related macular degeneration	.	H35.30
DIB007160	VLTS-589	Peripheral vascular disease	443.9	I73.9
DIB007162	SOM-0888	Plasmodium infection	.	B54
DIB007163	Cyclosporin A-based peptides	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DIB007164	BMY-43748	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007166	SMC-0006 prodrug	Cancer	140-229	C00-C96
DIB007167	GBL-100	Dermatological disease	.	L00-L99
DIB007168	AM-461	Respiratory disease	.	J00-J99
DIB007170	FibroStem	Scar tissue	.	L00-L99
DIB007171	Propoxycaine	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB007172	A-54145	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007174	Dichloroacetate sodium	Pulmonary hypertension	416	I27.0, I27.2
DIB007176	DPP-IV inhibitors	Non-insulin dependent diabetes	.	E11.9
DIB007178	Co-111732	Epilepsy	290-319, 345	F01-F99, G40
DIB007179	VPM-4-001	Prostate tumor	185	C61
DIB007180	Ladostigil	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB007181	BL-1021	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB007182	Yttrium (90Y) clivatuzumab tetraxetan	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
DIB007184	M-402	Cancer	140-229	C00-C96
DIB007185	Radioimmunotherapy	Cancer	140-229	C00-C96
DIB007187	Nelipepimut	Non-Hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
DIB007188	ATLIPROFEN METHYL ESTER	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
DIB007190	Napsagatran	Myocardial infarction	410, 434.91	I21, I22, I61-I63
DIB007191	NanoDTPA	Iron overload	.	R79.0
DIB007192	Sarcoma cancer vaccine	Sarcoma	202.8	C81-C96
DIB007193	Fungicide	Fungal infection	110-118	B35-B49
DIB007194	RPK-739	Cancer	140-229	C00-C96
DIB007195	HG-1068	Cancer	140-229	C00-C96
DIB007197	DANOFLOXACIN	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007201	EGF816	Non-small-cell lung carcinoma	162, 208.9	C33, C34, C91-C95
DIB007203	INO-3112	Head and neck cancer	140-149, 140-229	C00-C96, C07-C14, C32-C33
DIB007204	Metronidazole 10% topical ointment	Crohn's disease	555	K50
DIB007205	Long-acting GCSF conjugate	Neutropenia	288	D70
DIB007208	PRT-064445	Bleeding	444, 453	I74, I80-I82
DIB007209	Molgramostim	Wound healing	.	T14.0-T14.1
DIB007210	A-849531	Metabolic disorders	270-279	E70-E89
DIB007212	Norelin	Prostate cancer	140-229, 185	C00-C96, C61
DIB007213	Fluorescein derivative contrast agent	Ocular disease	.	H00-H59
DIB007214	AFC-5128	Autoimmune diseases	279	D84.9, M35.9
DIB007215	N-8295	Influenza virus infections	487, 488	J10, J11
DIB007216	TS-032	Schizophrenia	295, 710.0	F20, M32
DIB007217	FolateImmune	Cancer	140-229	C00-C96
DIB007219	Nucleozin	Influenza virus infections	487, 488	J10, J11
DIB007221	AVE-0847	Hyperlipidemia	272.0-272.4	E78
DIB007226	Org-9731	Heart failure	410, 428	I21, I22, I50
DIB007228	C-KAD ophthalmic solution	Cataract	366	H25-H26, H28, Q12.0
DIB007229	HMAG-1 targeting GRSA	Breast cancer	174, 175, 217	C50, D24
DIB007231	E-2040	Schizophrenia	295, 710.0	F20, M32
DIB007232	PTL-68001	Cancer	140-229	C00-C96
DIB007233	Anthrax vaccine	Bacillus anthracis infection	.	A22
DIB007234	ACH-2892	Infectious disease	001-139	A00-B99
DIB007235	PD-159913	Cerebrovascular ischaemia	434.91	I61-I63
DIB007236	FR-183998	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DIB007237	A-007	Skin cancers	172, 173	C43, C44
DIB007238	Adyvia	Diabetes mellitus type 2	250	E11
DIB007239	UC-38	HIV infections	001-139, 042	A00-B99, B20
DIB007240	LJP-1207	Cerebrovascular ischaemia	434.91	I61-I63
DIB007242	Artemisinin-based iron chelators	Cancer	140-229	C00-C96
DIB007244	Pyrrole-imidazole polyamides	Papillomavirus infections	.	B97.7
DIB007245	TGF-beta Shield	Cancer	140-229	C00-C96
DIB007247	NT0202	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DIB007248	STP-702	Influenza virus infections	487, 488	J10, J11
DIB007249	Ketolides	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007250	SPPI-339	Attention deficit hyperactivity disorder	314.00, 314.01	F90
DIB007251	VP004	Substance dependence	.	F10-F19
DIB007252	SAN-134	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
DIB007253	PBI-4419	Fibrosis	709.2	L90.5
DIB007255	G-1128	Chronic myelogenous leukemia	205.1, 208.9	C91-C95, C92.1
DIB007257	Metformin arginine-hemisuccinimide	Diabetes mellitus type 2	250	E11
DIB007259	MVA-mBN85B	Measles virus infection	.	B06.9
DIB007260	Bifemelane	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB007261	AM-250 SCI	Spinal cord injuries	952	S14, S24, S34
DIB007262	IPP-204106	Cancer	140-229	C00-C96
DIB007263	GenePro	HIV infections	001-139, 042	A00-B99, B20
DIB007266	Bimatoprost	Alopecia	704.09	L65.9
DIB007267	Prophylactic DNA vaccine	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DIB007268	Sch-40338	Allergy	995.3	T78.4
DIB007269	T2c-001	Congestive heart failure	428, 428.0	I50
DIB007271	TRU-015	Lymphoma	202.8, 208.9	C81-C96, C91-C95
DIB007272	ADC-7828	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DIB007274	Botulinum neurotoxin vaccine	Botulism	005.1, 040.41, 040.42	A05.1
DIB007277	AVI-5038	Duchenne dystrophy	.	G71.0
DIB007278	CEFETECOL	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB007279	MMP-408	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J45, J47
DIB007280	TAR-1	Cancer	140-229	C00-C96
DIB007281	AZD-0275	Chronic obstructive pulmonary disease; Rheumatoid arthritis	460-519, 490-492, 494-496, 710-719, 714	J00-J99, J40-J44, J47, M00-M25, M05-M06
DIB007283	GD-AAV8	Gaucher disease	272.7	E75.2
DIB007286	DR-5/DR-4 cross reactive mAbs	Cancer	140-229	C00-C96
DIB007287	LPO-1010CSR	Retinopathy	362.0-362.2	H35-H35.2
DIB007288	Growth hormone	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
DIB007289	SCH-221510	Anxiety disorder	300, 311	F32, F40-F42
DIB007290	PSX-4206	Pulmonary disease	460-519	J00-J99
DIB007291	BL-6020	Cachexia	799.4	R64
DIB007293	NTHI vaccine	Haemophilus influenzae prophylaxis	487, 488	J10, J11
DIB007294	NPS-2	Cancer	140-229	C00-C96
DIB007295	Polyglutamate camptothecin	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB007296	T-2000	Cerebrovascular ischaemia	434.91	I61-I63
DIB007298	PF-454583	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DIB007299	Tpl2 kinase inhibitors	Rheumatold arthritis	714	M05-M06
